Uniq Id;Category;Product Title;Brand;Mrp;Price;Offers;Stock Availability
e61712f19e2907f05bb18ee3ef010b95;Skin Care;Malie Organics Plumeria Body Wash 244ml/8.25oz;Malie;16277;5275;67.59%;true
e307c23000292c2f7e411b2711ef25b7;Skin Care; BeautyNeeds Reusable Spa Gel Socks & Gloves Moisturizing Whitening Exfoliating Velvet Smooth Beauty Hand Silicone Socks ;BeautyNeeds;2317;1228;47.0%;true
089669069b5335d295c4fe7ea0f29cf9;Fragrance;Madni 25ml Blue Intense Extrait de Parfum | Attar | Ittar | Perfume;Ambrosial - Fragrances of Heaven;1145;1145;0 %;true
b6514dc2a94ed4c8257455c92842893c;Bath & Shower; Slolvedi Wooden Long Handle Bath Brush Shower Body Brushes ;Slolvedi;1;1;;false
af00397ebf1878bb916fa80342b741ef;Hair Care; Vega Graduated Shampoo Comb ;Vega;220;220;0 %;true
5dc40d606865da739f185f07871119e3;Skin Care;Jergens Cherry-Almond Moisturizer, Original Scent, 21 oz;Jergens;899;899;0 %;true
8eef6e3d80bf2ea82e38fda180832fc5;Hair Care;Batiste Stylist Oomph My Locks XXL Volume Spray Shampoo, 200ml;Batiste;749;549;26.7%;true
643f641725bce73ccd48481683a16a4f;Grocery & Gourmet Foods;Fathers day gifts from daughter - 9 Chocolate Gift Box - Happy fathers day gifts;CHOCOCRAFT;695;695;0 %;true
8a1ced97204e6be7af533aef08d277a0;Skin Care;100% Pure - Cold Pressed Flaxseed OIL - 100 ML;Afro Heal;250;250;0 %;true
92c571f8ca580b16a1dd597e85d9945f;Fragrance;"EDT 100ml.""Work@holics Base"" for men";Linn Young;1599;1599;0 %;true
25048335235489f26c48e1f501263a47;Grocery & Gourmet Foods;Jai Jinendra Spices & Masale Asafoetida (Hing ) VIP Quality Whole for Namkeen and Pappad and All Food Items Use - 100 gm;jai jinendra;450;299;33.56%;true
e3d4bfad7abd31e1c8e517f2696c7bbc;Bath & Shower;Morges Ice Cream Shape Bath Sponge For Body Wash For Men Women And Kids Multicolor 15 Gram Pack Of 1;Morges;349;249;28.65%;true
b1ff757c722427af8ad52b34868f0af8;Fragrance; Maxgars Piperwai - All Natural Activated Charcoal Deodorant for Men and Women ;MAXGARS;3990;1490;62.66%;true
972d831d60a01a348999432f5cc75887;Hair Care; Raw Home Essential Jatamansi Taila ;Raw Home Essential;999;999;0 %;true
1ea3e9cb4bb0256d7de279c48d9b728d;Fragrance; Avon Imari Seduction Skin EDP + Skin Softeners (combo set) ;AVON;1499;1199;20.01%;true
2601ac449d28f7df29f721fd5ca7d973;Grocery & Gourmet Foods;SRR MASALA Chicken Ghee Roast Masale (Pack of 6) 60 g Each;SRR MASALA;270;270;0 %;true
84fac12bc7c2ecf7c4bceabf0d091e52;Grocery & Gourmet Foods;Gift kerala - 9 Chocolate Gift Box - Send gift to kerala;CHOCOCRAFT;695;695;0 %;true
bc2546f614e11827f78e952ccf35a313;Skin Care;HC 3Pcs Natural Crystal Body Antiperspirant Deodorant Alum Stick Underarm Removal;Hi cool;2895;1550;46.46%;true
535b7c97578c45771ca7145f4adfce58;Skin Care; Stockout Colourpop JAM SESH ;Stockout;2399;2399;0 %;true
